GeneID	Symbol	Description	log2(fold change)(SkinLesion-PsA vs HealthySkin)	-log10(Pvalue)(SkinLesion-PsA vs HealthySkin)
2534	FYN	FYN proto-oncogene, Src family tyrosine kinase	-0.63	3.459
105377945	LOC105377945	uncharacterized LOC105377945	-0.568	2.894
102724646	LOC102724646	uncharacterized LOC102724646	-0.514	1.648
105377947	LOC105377947	uncharacterized LOC105377947	-2.783	9.945
51175	TUBE1	tubulin epsilon 1	-0.884	15.374
619208	FAM229B	family with sequence similarity 229 member B	-0.988	7.812
105377957	LINC02518	long intergenic non-protein coding RNA 2518	1.027	1.793
101927686	LINC02541	long intergenic non-protein coding RNA 2541	-1.198	4.185
4082	MARCKS	myristoylated alanine rich protein kinase C substrate	0.716	10.514
2444	FRK	fyn related Src family tyrosine kinase	1.473	13.216
441168	CALHM6	calcium homeostasis modulator family member 6	1.716	5.134
254228	CALHM5	calcium homeostasis modulator family member 5	-1.905	3.909
345895	RSPH4A	radial spoke head component 4A	-0.968	3.328
222553	SLC35F1	solute carrier family 35 member F1	-0.513	1.328
5350	PLN	phospholamban	-2.06	7.983
79632	FAM184A	family with sequence similarity 184 member A	-0.826	4.335
4121	MAN1A1	mannosidase alpha class 1A member 1	1.041	12.5
221322	TBC1D32	TBC1 domain family member 32	-0.552	2.754
2697	GJA1	gap junction protein alpha 1	0.795	4.561
3298	HSF2	heat shock transcription factor 2	-0.576	4.544
5570	PKIB	cAMP-dependent protein kinase inhibitor beta	-1.86	12.085
154215	NKAIN2	sodium/potassium transporting ATPase interacting 2	-1.056	2.129
23493	HEY2	hes related family bHLH transcription factor with YRPW motif 2	-0.769	4.585
135112	NCOA7	nuclear receptor coactivator 7	1.57	12.646
387103	CENPW	centromere protein W	0.923	4.824
387104	SOGA3	SOGA family member 3	-0.849	2.709
9729	KIAA0408	KIAA0408	-1.277	5.555
387357	THEMIS	thymocyte selection associated	1.705	6.338
383	ARG1	arginase 1	1.66	8.349
5169	ENPP3	ectonucleotide pyrophosphatase/phosphodiesterase 3	-1.067	4.047
5167	ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1	-1.303	10.382
1490	CCN2	cellular communication network factor 2	-0.846	3.881
26002	MOXD1	monooxygenase DBH like 1	1.466	11.502
8876	VNN1	vanin 1	3.648	20.57
55350	VNN3P	vanin 3, pseudogene	7.15	65.223
8875	VNN2	vanin 2	1.91	2.226
116843	SLC18B1	solute carrier family 18 member B1	1.013	19.539
154091	SLC2A12	solute carrier family 2 member 12	0.568	1.726
6446	SGK1	serum/glucocorticoid regulated kinase 1	1.488	24.338
101928231	CT69	cancer/testis associated transcript 69	3.53	23.132
154092	LINC01010	long intergenic non-protein coding RNA 1010	1.548	5.167
101928304	LINC03002	long intergenic non-protein coding RNA 3002	-1.393	3.017
4602	MYB	MYB proto-oncogene, transcription factor	0.661	4.805
27115	PDE7B	phosphodiesterase 7B	0.651	1.442
113115	MTFR2	mitochondrial fission regulator 2	0.866	3.426
4217	MAP3K5	mitogen-activated protein kinase kinase kinase 5	0.749	5.446
100294720	NHEG1	neuroblastoma highly expressed 1	-2.83	9.432
53832	IL20RA	interleukin 20 receptor subunit alpha	-0.839	8.72
116379	IL22RA2	interleukin 22 receptor subunit alpha 2	1.143	1.921
3459	IFNGR1	interferon gamma receptor 1	0.999	12.609
100130476	WAKMAR2	wound and keratinocyte migration associated lncRNA 2	-2.4	16.515
105378021	LOC105378021	uncharacterized LOC105378021	-1.263	4.448
57221	ARFGEF3	ARFGEF family member 3	-1.787	10.203
57224	NHSL1	NHS like 1	0.576	5.845
345930	ECT2L	epithelial cell transforming 2 like	-1.052	4.064
107986650	LOC107986650	uncharacterized LOC107986650	-1.398	3.455
3097	HIVEP2	HIVEP zinc finger 2	0.807	3.491
107986655	HIVEP2-DT	HIVEP2 divergent transcript	1.128	4.418
9749	PHACTR2	phosphatase and actin regulator 2	1.004	7.92
5325	PLAGL1	PLAG1 like zinc finger 1	-0.668	6.716
8676	STX11	syntaxin 11	0.575	2.781
100507557	EPM2A-DT	EPM2A divergent transcript	-0.817	11.21
84085	FBXO30	F-box protein 30	0.514	3.491
729178	STXBP5-AS1	STXBP5 antisense RNA 1	1.26	7.565
389432	SAMD5	sterile alpha motif domain containing 5	-1.138	3.633
10090	UST	uronyl 2-sulfotransferase	-1.115	9.409
340152	ZC3H12D	zinc finger CCCH-type containing 12D	0.891	3.294
645958	RPS18P9	ribosomal protein S18 pseudogene 9	-0.999	12.567
107986660	LOC107986660	uncharacterized LOC107986660	-1.05	1.989
84918	LRP11	LDL receptor related protein 11	0.656	4.846
100652739	RAET1E-AS1	RAET1E antisense RNA 1	1.076	5.417
135250	RAET1E	retinoic acid early transcript 1E	0.996	9.083
353091	RAET1G	retinoic acid early transcript 1G	2.22	22.368
80328	ULBP2	UL16 binding protein 2	2.399	14.446
154064	RAET1L	retinoic acid early transcript 1L	1.444	4.972
79465	ULBP3	UL16 binding protein 3	1.02	5.262
81706	PPP1R14C	protein phosphatase 1 regulatory inhibitor subunit 14C	-0.587	7.123
25902	MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like	0.585	2.048
79624	ARMT1	acidic residue methyltransferase 1	0.714	7.504
107986529	LOC107986529	uncharacterized LOC107986529	-1.095	3.668
23345	SYNE1	spectrin repeat containing nuclear envelope protein 1	-0.858	8.804
80177	MYCT1	MYC target 1	-0.528	2.12
26271	FBXO5	F-box protein 5	0.958	7.275
26034	IPCEF1	interaction protein for cytohesin exchange factors 1	0.697	2.22
154043	CNKSR3	CNKSR family member 3	0.608	4.079
26230	TIAM2	TIAM Rac1 associated GEF 2	-0.764	5.903
105378075	LOC105378075	uncharacterized LOC105378075	0.516	1.398
107986663	LOC107986663	uncharacterized LOC107986663	1.569	3.466
117289	TAGAP	T cell activation RhoGTPase activating protein	0.638	1.378
84624	FNDC1	fibronectin type III domain containing 1	-1.377	3.169
6648	SOD2	superoxide dismutase 2	2.138	18.715
154197	PNLDC1	PARN like ribonuclease domain containing exonuclease 1	-4.344	5.306
3482	IGF2R	insulin like growth factor 2 receptor	0.529	2.46
6581	SLC22A3	solute carrier family 22 member 3	0.751	13.738
56895	AGPAT4	1-acylglycerol-3-phosphate O-acyltransferase 4	0.586	2.146
5071	PRKN	parkin RBR E3 ubiquitin protein ligase	-1.394	9.319
135138	PACRG	parkin coregulated	-1.876	11.705
100526820	CAHM	colon adenocarcinoma hypermethylated	-0.947	1.997
10846	PDE10A	phosphodiesterase 10A	0.877	3.694
51660	MPC1	mitochondrial pyruvate carrier 1	-0.577	2.456
6196	RPS6KA2	ribosomal protein S6 kinase A2	0.791	8.693
105378120	LOC105378120	uncharacterized LOC105378120	-0.838	2.553
54346	UNC93A	unc-93 homolog A	1.685	13.107
107986547	LOC107986547	uncharacterized LOC107986547	-1.677	6.056
105378138	LOC105378138		-0.923	1.609
101929484	LINC01615	long intergenic non-protein coding RNA 1615	-0.694	1.454
6991	DYNLT2	dynein light chain Tctex-type 2	-0.647	3.343
100507642	LINC03014	long intergenic non-protein coding RNA 3014	0.553	1.743
5154	PDGFA	platelet derived growth factor subunit A	-0.87	6.178
441307	PDGFA-DT	PDGFA divergent transcript	-1.838	3.219
11033	ADAP1	ArfGAP with dual PH domains 1	-0.801	4.553
90639	COX19	cytochrome c oxidase assembly factor COX19	-0.673	9.084
54905	CYP2W1	cytochrome P450 family 2 subfamily W member 1	-4.974	32.49
115330	GPR146	G protein-coupled receptor 146	-0.923	4.598
107986755	LOC107986755	replaced by ID 105375120	-1.868	4.808
105375120	LOC105375120	uncharacterized LOC105375120	-2.078	5.384
8662	EIF3B	eukaryotic translation initiation factor 3 subunit B	0.534	5.661
402635	GRIFIN	galectin-related inter-fiber protein	-2.121	4.52
3955	LFNG	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	-0.545	2.263
80727	TTYH3	tweety family member 3	0.646	3.627
155185	AMZ1	archaelysin family metallopeptidase 1	-0.74	1.329
84433	CARD11	caspase recruitment domain family member 11	1.933	11.681
221935	SDK1	sidekick cell adhesion molecule 1	0.831	2.823
55698	RADIL	Rap associating with DIL domain	-1.064	7.831
100533952	RBAK-RBAKDN	RBAK-RBAKDN readthrough	0.938	2.783
57786	RBAK	RB associated KRAB zinc finger	0.546	3.638
222962	SLC29A4	solute carrier family 29 member 4	0.628	1.539
80028	FBXL18	F-box and leucine rich repeat protein 18	0.629	5.224
6624	FSCN1	fascin actin-bundling protein 1	1.863	24.723
107986762	LOC107986762		1.541	15.022
392862	GRID2IP	Grid2 interacting protein	-1.279	7.376
101927325	LOC101927325	uncharacterized LOC101927325	-2.093	7.829
54753	ZNF853	zinc finger protein 853	-1.267	8.58
112267992	LOC112267992	uncharacterized LOC112267992	-0.995	6.409
340267	COL28A1	collagen type XXVIII alpha 1 chain	-0.87	4.146
101927391	MIOS-DT	MIOS divergent transcript	-1.249	9.495
3382	ICA1	islet cell autoantigen 1	-1.067	5.789
79150	MGC4859	uncharacterized LOC79150	0.978	2.145
221806	VWDE	von Willebrand factor D and EGF domains	-2.729	10.961
85477	SCIN	scinderin	-2.291	39.708
10124	ARL4A	ADP ribosylation factor like GTPase 4A	-0.617	4.299
2115	ETV1	ETS variant transcription factor 1	-0.698	1.912
4223	MEOX2	mesenchyme homeobox 2	-0.657	2.442
729920	CRPPA	CDP-L-ribitol pyrophosphorylase A	0.537	1.952
28969	BZW2	basic leucine zipper and W2 domains 2	0.565	7.153
10551	AGR2	anterior gradient 2, protein disulphide isomerase family member	-2.422	4.554
196	AHR	aryl hydrocarbon receptor	0.692	3.963
7291	TWIST1	twist family bHLH transcription factor 1	-0.798	2.573
100506098	MACC1-DT	MACC1 divergent transcript	-1.892	10.569
101927811	ITGB8-AS1	ITGB8 antisense RNA 1	-0.733	1.982
340273	ABCB5	ATP binding cassette subfamily B member 5	-2.157	2.848
221833	SP8	Sp8 transcription factor	-2.655	5.761
222901	RPL23P8	ribosomal protein L23 pseudogene 8	-0.799	5.477
6671	SP4	Sp4 transcription factor	-0.579	3.779
102724143	LOC102724143		0.618	1.958
9771	RAPGEF5	Rap guanine nucleotide exchange factor 5	0.836	5.63
256227	STEAP1B	STEAP family member 1B	0.975	1.837
54543	TOMM7	translocase of outer mitochondrial membrane 7	-0.819	6.24
90693	CCDC126	coiled-coil domain containing 126	-0.857	8.967
340277	FAM221A	family with sequence similarity 221 member A	-1.824	31.794
56164	STK31	serine/threonine kinase 31	-1.445	2.725
1687	GSDME	gasdermin E	1.369	5.404
26031	OSBPL3	oxysterol binding protein like 3	0.532	2.813
54205	CYCS	cytochrome c, somatic	1.017	8.503
646588	LINC03007	long intergenic non-protein coding RNA 3007	-2.343	2.782
9603	NFE2L3	NFE2 like bZIP transcription factor 3	1.104	13.09
29887	SNX10	sorting nexin 10	1.745	7.022
105375304	SNX10-AS1	SNX10 antisense RNA 1	1.035	2.006
441204	LINC02981	long intergenic non-protein coding RNA 2981	-0.587	1.601
100506311	HOTAIRM1	HOXA transcript antisense RNA, myeloid-specific 1	-0.856	3.118
3199	HOXA2	homeobox A2	-0.722	2.542
3200	HOXA3	homeobox A3	-0.51	1.744
3206	HOXA10	homeobox A10	-0.637	3.679
3207	HOXA11	homeobox A11	-1.162	3.936
221883	HOXA11-AS	HOXA11 antisense RNA	-1.188	2.063
3209	HOXA13	homeobox A13	-0.998	3.741
11112	HIBADH	3-hydroxyisobutyrate dehydrogenase	-0.695	4.665
221895	JAZF1	JAZF zinc finger 1	-0.923	10.094
100128081	JAZF1-AS1	JAZF1 antisense RNA 1	-0.658	1.305
9586	CREB5	cAMP responsive element binding protein 5	-1.008	5.167
9865	TRIL	TLR4 interactor with leucine rich repeats	1.477	5.987
100506497	CPVL-AS2	CPVL antisense RNA 2	1.463	3.149
644150	WIPF3	WAS/WASL interacting protein family member 3	-0.581	1.888
9805	SCRN1	secernin 1	0.746	2.928
84725	PLEKHA8	pleckstrin homology domain containing A8	0.532	2.875
105375216	LOC105375216	uncharacterized LOC105375216	-0.721	1.757
222166	MTURN	maturin, neural progenitor differentiation regulator homolog	-1.062	16.903
223082	ZNRF2	zinc and ring finger 2	0.558	4.761
79017	GGCT	gamma-glutamylcyclotransferase	0.853	4.871
401320	GARS1-DT	GARS1 divergent transcript	-1.053	5.893
2617	GARS1	glycyl-tRNA synthetase 1	1.11	27.423
100526825	INMT-MINDY4	INMT-MINDY4 readthrough (NMD candidate)	-0.528	2.583
11185	INMT	indolethylamine N-methyltransferase	-1.016	3.633
84182	MINDY4	MINDY lysine 48 deubiquitinase 4	-0.522	2.193
107986780	LOC107986780		-0.755	1.364
5137	PDE1C	phosphodiesterase 1C	-0.873	2.062
23080	AVL9	AVL9 cell migration associated	0.583	4.832
51251	NT5C3A	5'-nucleotidase, cytosolic IIIA	1.114	8.797
23366	MATCAP2	microtubule associated tyrosine carboxypeptidase 2	-0.768	3.747
54443	ANLN	anillin, actin binding protein	1.659	9.534
313	AOAH	acyloxyacyl hydrolase	1.067	3.288
54749	EPDR1	ependymin related 1	-0.537	2.112
100506776	TRG-AS1	T cell receptor gamma locus antisense RNA 1	1.681	6.332
273	AMPH	amphiphysin	-0.758	2.303
349114	LINC00265	long intergenic non-protein coding RNA 265	-1.178	7.25
3624	INHBA	inhibin subunit beta A	-0.643	1.434
28988	DBNL	drebrin like	0.71	25.529
10652	YKT6	YKT6 v-SNARE homolog	0.691	11.479
816	CAMK2B	calcium/calmodulin dependent protein kinase II beta	-3.361	23.593
29881	NPC1L1	NPC1 like intracellular cholesterol transporter 1	0.881	1.317
5814	PURB	purine rich element binding protein B	0.644	4.486
64005	MYO1G	myosin IG	1.346	6.563
23148	NACAD	NAC alpha domain containing	-1.326	7.296
10268	RAMP3	receptor activity modifying protein 3	-0.603	2.539
3486	IGFBP3	insulin like growth factor binding protein 3	1.731	10.969
168507	PKD1L1	polycystin 1 like 1, transient receptor potential channel interacting	-0.706	4.249
3364	HUS1	HUS1 checkpoint clamp component	0.55	6.006
7378	UPP1	uridine phosphorylase 1	2.688	34.87
154664	ABCA13	ATP binding cassette subfamily A member 13	-1.215	1.981
10320	IKZF1	IKAROS family zinc finger 1	1.475	9.626
63979	FIGNL1	fidgetin like 1	0.808	4.135
2887	GRB10	growth factor receptor bound protein 10	0.526	2.812
23242	COBL	cordon-bleu WH2 repeat protein	-1.32	15.906
5723	PSPH	phosphoserine phosphatase	0.773	4.432
908	CCT6A	chaperonin containing TCP1 subunit 6A	0.566	6.695
442319	ZNF727	zinc finger protein 727	-0.926	2.189
728927	ZNF736	zinc finger protein 736	-0.511	2.193
7697	ZNF138	zinc finger protein 138	-0.795	3.594
10793	ZNF273	zinc finger protein 273	-1.59	6.855
441239	LOC441239	uncharacterized LOC441239	-1.297	2.469
105375328	LOC105375328		0.559	3.247
643180	CCT6P3	chaperonin containing TCP1 subunit 6 pseudogene 3	-0.584	3.01
441242	LINC03006	long intergenic non-protein coding RNA 3006	-0.84	4.193
643253	CCT6P1	chaperonin containing TCP1 subunit 6 pseudogene 1	-0.602	2.346
105375336	LOC105375336	uncharacterized LOC105375336	-2.478	12.993
8460	TPST1	tyrosylprotein sulfotransferase 1	-0.611	2.349
285908	LINC00174	long intergenic non-protein coding RNA 174	-0.679	1.356
100996437	LOC100996437	uncharacterized LOC100996437	-0.704	2.07
644794	LINC02604	long intergenic non-protein coding RNA 2604	-0.725	2.308
105375337	LOC105375337	uncharacterized LOC105375337	-1.029	1.616
64409	GALNT17	polypeptide N-acetylgalactosaminyltransferase 17	-1.423	5.744
9883	POM121	POM121 transmembrane nucleoporin	0.757	7.128
260294	NSUN5P2	NSUN5 pseudogene 2	-0.887	8.496
378108	TRIM74	tripartite motif containing 74	-0.781	4.177
100101148	LOC100101148	FKBP prolyl isomerase 6 pseudogene	-1.254	4.978
135892	TRIM50	tripartite motif containing 50	-1.307	2.954
8468	FKBP6	FKBP prolyl isomerase family member 6 (inactive)	-1.796	8.977
8326	FZD9	frizzled class receptor 9	0.756	1.79
9031	BAZ1B	bromodomain adjacent to zinc finger domain 1B	0.528	3.85
51085	MLXIPL	MLX interacting protein like	-2.278	8.963
155382	VPS37D	VPS37D subunit of ESCRT-I	-1.478	8.333
83451	ABHD11	abhydrolase domain containing 11	-1.221	19.751
1365	CLDN3	claudin 3	-2.958	10.564
155368	METTL27	methyltransferase like 27	-1.336	2.229
2006	ELN	elastin	-0.662	1.453
107986809	ELN-AS1	ELN antisense RNA 1	-0.711	1.339
3984	LIMK1	LIM domain kinase 1	0.561	11.728
7462	LAT2	linker for activation of T cells family member 2	0.928	4.22
101926943	GTF2I-AS1	GTF2I antisense RNA 1	0.816	1.944
84163	GTF2IRD2	GTF2I repeat domain containing 2	-1.183	11.049
442582	STAG3L2	stromal antigen 3-like 2 (pseudogene)	-0.553	2.246
389524	GTF2IRD2B	GTF2I repeat domain containing 2B	-0.867	10.837
54441	STAG3L1	stromal antigen 3-like 1 (pseudogene)	-0.51	1.834
541473	LOC541473	FKBP prolyl isomerase 6 pseudogene	-1.181	4.301
375593	TRIM73	tripartite motif containing 73	-1.534	9.504
155400	NSUN5P1	NSUN5 pseudogene 1	-1.03	7.411
100101267	POM121C	POM121 transmembrane nucleoporin C	0.648	4.136
10344	CCL26	C-C motif chemokine ligand 26	-1.36	2.961
6369	CCL24	C-C motif chemokine ligand 24	1.328	2.261
5447	POR	cytochrome p450 oxidoreductase	0.879	12.545
4191	MDH2	malate dehydrogenase 2	0.508	4.58
222183	SRRM3	serine/arginine repetitive matrix 3	1.001	4.925
7532	YWHAG	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma	0.851	8.34
105375355	UPK3B	uroplakin 3B	-1.341	2.866
57639	CCDC146	coiled-coil domain containing 146	-0.612	1.698
54103	GSAP	gamma-secretase activating protein	-0.731	6.219
105375363	LOC105375363	uncharacterized LOC105375363	-0.57	1.416
57157	PHTF2	putative homeodomain transcription factor 2	0.621	5.828
9863	MAGI2	membrane associated guanylate kinase, WW and PDZ domain containing 2	-0.911	9.864
100505881	MAGI2-AS3	MAGI2 antisense RNA 3	-0.819	4.443
948	CD36	CD36 molecule	2.126	21.134
781	CACNA2D1	calcium voltage-gated channel auxiliary subunit alpha2delta 1	-1.231	9.134
27445	PCLO	piccolo presynaptic cytomatrix protein	-0.708	1.906
9723	SEMA3E	semaphorin 3E	-1.704	6.567
105375378	LOC105375378	uncharacterized LOC105375378	-0.599	3.567
223117	SEMA3D	semaphorin 3D	-1.427	11.968
222223	ELAPOR2	endosome-lysosome associated apoptosis and autophagy regulator family member 2	-0.903	4.462
54677	CROT	carnitine O-octanoyltransferase	1.107	12.051
10926	DBF4	DBF4 zinc finger	0.801	10.025
53616	ADAM22	ADAM metallopeptidase domain 22	-1.16	6.018
79689	STEAP4	STEAP4 metalloreductase	2.076	14.738
79846	CFAP69	cilia and flagella associated protein 69	-1.09	5.552
9069	CLDN12	claudin 12	0.645	5.065
5218	CDK14	cyclin dependent kinase 14	-0.721	4.418
1595	CYP51A1	cytochrome P450 family 51 subfamily A member 1	0.669	4.012
57798	GATAD1	GATA zinc finger domain containing 1	-0.57	6.493
112268009	LOC112268009	uncharacterized LOC112268009	-1.496	4.34
54809	SAMD9	sterile alpha motif domain containing 9	3.993	41.629
219285	SAMD9L	sterile alpha motif domain containing 9 like	1.033	5.613
2791	GNG11	G protein subunit gamma 11	-0.824	3.007
107986820	LOC107986820	uncharacterized LOC107986820	-1.163	3.436
8910	SGCE	sarcoglycan epsilon	-1.067	4.32
23089	PEG10	paternally expressed 10	-0.707	2.937
55607	PPP1R9A	protein phosphatase 1 regulatory subunit 9A	-1.456	7.549
5445	PON2	paraoxonase 2	0.84	15.934
5166	PDK4	pyruvate dehydrogenase kinase 4	-1.49	4.997
1780	DYNC1I1	dynein cytoplasmic 1 intermediate chain 1	-1.325	9.861
10165	SLC25A13	solute carrier family 25 member 13	0.649	6.46
285987	DLX6-AS1	DLX6 antisense RNA 1	1.104	3.025
1749	DLX5	distal-less homeobox 5	0.817	8.335
6863	TAC1	tachykinin precursor 1	-3.653	12.545
107986827	CZ1P-ASNS	CZ1P-ASNS readthrough	-0.595	4.853
55971	BAIAP2L1	BAR/IMD domain containing adaptor protein 2 like 1	-0.567	10.107
4885	NPTX2	neuronal pentraxin 2	-1.13	4.849
402569	KPNA7	karyopherin subunit alpha 7	1.236	1.936
10095	ARPC1B	actin related protein 2/3 complex subunit 1B	0.996	8.58
285989	ZNF789	zinc finger protein 789	-0.646	3.312
1577	CYP3A5	cytochrome P450 family 3 subfamily A member 5	-0.906	2.313
1576	CYP3A4	cytochrome P450 family 3 subfamily A member 4	-2.121	6.24
101927610	LOC101927610	uncharacterized LOC101927610	-1.286	5.407
349149	GJC3	gap junction protein gamma 3	-1.71	5.354
563	AZGP1	alpha-2-glycoprotein 1, zinc-binding	-0.829	2.224
646282	AZGP1P1	AZGP1 pseudogene 1	1.244	3.695
389541	LAMTOR4	late endosomal/lysosomal adaptor, MAPK and MTOR activator 4	-1.62	19.821
55262	TRAPPC14	trafficking protein particle complex subunit 14	-0.519	3.274
100616439	MIR4658	microRNA 4658	-0.582	2.045
79690	GAL3ST4	galactose-3-O-sulfotransferase 4	-1.231	6.771
221914	GPC2	glypican 2	-1.931	9.21
10734	STAG3	stromal antigen 3	-0.764	3.417
352954	CASTOR3P	CASTOR family member 3, pseudogene	-0.746	3.808
101752399	STAG3L5P-PVRIG2P-PILRB	STAG3L5P-PVRIG2P-PILRB readthrough	-0.76	4.246
101752334	PVRIG2P	PVR related immunoglobulin domain containing 2, pseudogene	-0.628	2.568
102466747	MIR6840	microRNA 6840	-0.799	1.753
29990	PILRB	paired immunoglobin like type 2 receptor beta	-0.946	5.474
222950	NYAP1	neuronal tyrosine phosphorylated phosphoinositide-3-kinase adaptor 1	-1.837	13.935
3268	AGFG2	ArfGAP with FG repeats 2	-0.906	8.108
100316904	SAP25	Sin3A associated protein 25	-1.031	4.005
26261	FBXO24	F-box protein 24	-1.216	5.358
64599	GIGYF1	GRB10 interacting GYF protein 1	-0.521	2.023
7455	ZAN	zonadhesin	1.551	5.122
