GeneID	Symbol	Description	log2(fold change)(AkS vs lesion-PsA)	-log10(Pvalue)(AkS vs lesion-PsA)
10195	ALG3	ALG3 alpha-1,3- mannosyltransferase	-0.609	3.373
110599564	EEF1AKMT4	EEF1A lysine methyltransferase 4	-1.642	6.739
110599583	EEF1AKMT4-ECE2	EEF1AKMT4-ECE2 readthrough	-1.691	6.388
5708	PSMD2	proteasome 26S subunit ubiquitin receptor, non-ATPase 2	-0.743	5.532
5437	POLR2H	RNA polymerase II, I and III subunit H	-0.667	3.099
8646	CHRD	chordin	0.915	2.459
107986163	LOC107986163	uncharacterized LOC107986163	0.867	1.664
285382	C3orf70	chromosome 3 open reading frame 70	1.101	4.797
200879	LIPH	lipase H	0.657	1.408
6434	TRA2B	transformer 2 beta homolog	-0.551	3.933
2119	ETV5	ETS variant transcription factor 5	0.583	4.186
1608	DGKG	diacylglycerol kinase gamma	0.707	3.029
51726	DNAJB11	DnaJ heat shock protein family (Hsp40) member B11	-0.782	4.472
1974	EIF4A2	eukaryotic translation initiation factor 4A2	0.515	1.779
5984	RFC4	replication factor C subunit 4	-0.596	2.874
64108	RTP4	receptor transporter protein 4	-1.709	7.039
604	BCL6	BCL6 transcription repressor	0.511	1.673
4026	LPP	LIM domain containing preferred translocation partner in lipoma	0.783	4.625
105374270	LOC105374270	uncharacterized LOC105374270	2.911	8.075
8626	TP63	tumor protein p63	-0.575	2.968
107986170	LOC107986170	replaced by ID 10686	1.919	7.906
9076	CLDN1	claudin 1	1.19	9.099
10686	CLDN16	claudin 16	1.553	7.877
3556	IL1RAP	interleukin 1 receptor accessory protein	-0.521	2.76
344905	ATP13A5	ATPase 13A5	1.46	3.282
84239	ATP13A4	ATPase 13A4	-0.812	2.236
101929198	ATP13A4-AS1	ATP13A4 antisense RNA 1	-0.965	1.477
105374284	LOC105374284	uncharacterized LOC105374284	-2.275	7.467
3280	HES1	hes family bHLH transcription factor 1	0.686	2.355
79572	ATP13A3	ATPase 13A3	-0.598	1.609
131583	FAM43A	family with sequence similarity 43 member A	-2.154	8.985
152002	XXYLT1	xyloside xylosyltransferase 1	-0.541	2.575
5504	PPP1R2	protein phosphatase 1 regulatory inhibitor subunit 2	-0.533	1.813
347	APOD	apolipoprotein D	1.383	5.3
200958	MUC20	mucin 20, cell surface associated	1.327	2.118
4585	MUC4	mucin 4, cell surface associated	-1.93	1.316
10188	TNK2	tyrosine kinase non receptor 2	0.83	1.955
401109	LINC00885	long intergenic non-protein coding RNA 885	1.214	2.502
100534611	TM4SF19-DYNLT2B	TM4SF19-DYNLT2B readthrough (NMD candidate)	-0.618	2.445
348793	WDR53	WD repeat domain 53	-1.253	5.098
200933	FBXO45	F-box protein 45	-1.875	9.426
152217	NCBP2AS2	NCBP2 antisense 2 (head to head)	-0.51	2.098
80235	PIGZ	phosphatidylinositol glycan anchor biosynthesis class Z	0.56	1.817
4241	MELTF	melanotransferrin	1.903	3.674
100507057	MELTF-AS1	MELTF antisense RNA 1	1.692	3.971
622	BDH1	3-hydroxybutyrate dehydrogenase 1	-0.781	2.87
84859	LRCH3	leucine rich repeats and calponin homology domain containing 3	0.601	3.002
728262	FAM157A	family with sequence similarity 157 member A	-1.059	1.532
152687	ZNF595	zinc finger protein 595	0.549	3.823
642280	ZNF876P	zinc finger protein 876, pseudogene	0.851	1.902
79963	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	0.651	1.894
112441426	TMEM271	transmembrane protein 271	2.837	10.84
105374338	LOC105374338	uncharacterized LOC105374338	1.947	7.837
100129917	PCGF3-AS1	PCGF3 antisense RNA 1	0.927	1.539
10815	CPLX1	complexin 1	0.788	1.303
53834	FGFRL1	fibroblast growth factor receptor like 1	0.875	2.71
285498	RNF212	ring finger protein 212	0.601	1.769
10417	SPON2	spondin 2	0.638	1.493
10296	MAEA	macrophage erythroblast attacher, E3 ubiquitin ligase	-0.514	3.623
7884	SLBP	stem-loop binding protein	-0.547	3.886
10460	TACC3	transforming acidic coiled-coil containing protein 3	-0.92	4.829
112268460	LOC112268460	uncharacterized LOC112268460	-0.701	3.937
339983	NAT8L	N-acetyltransferase 8 like	1.448	2.964
105374352	LOC105374352	uncharacterized LOC105374352	-1.255	5.413
79155	TNIP2	TNFAIP3 interacting protein 2	-0.702	8.948
6452	SH3BP2	SH3 domain binding protein 2	0.502	1.594
317648	NOP14-AS1	NOP14 antisense RNA 1	-0.67	13.673
8602	NOP14	NOP14 nucleolar protein	-0.61	4.762
345222	MSANTD1	Myb/SANT DNA binding domain containing 1	0.833	2.149
285489	DOK7	docking protein 7	1.127	1.519
107986251	LINC02600	long intergenic non-protein coding RNA 2600	1.583	4.035
152	ADRA2C	adrenoceptor alpha 2C	1.566	6.738
55646	LYAR	Ly1 antibody reactive	-0.783	5.509
27065	NSG1	neuronal vesicle trafficking associated 1	-0.698	2.07
4487	MSX1	msh homeobox 1	0.882	3.616
132884	EVC2	EvC ciliary complex subunit 2	0.696	3.482
2121	EVC	EvC ciliary complex subunit 1	0.672	2.263
1400	CRMP1	collapsin response mediator protein 1	0.773	3.905
7466	WFS1	wolframin ER transmembrane glycoprotein	0.82	3.678
107986257	LOC107986257		0.765	2.105
5522	PPP2R2C	protein phosphatase 2 regulatory subunit Bgamma	-1.032	3.549
339988	LINC02481	long intergenic non-protein coding RNA 2481	-0.861	1.468
6286	S100P	S100 calcium binding protein P	-1.999	3.541
80273	GRPEL1	GrpE like 1, mitochondrial	-0.589	2.205
94031	HTRA3	HtrA serine peptidase 3	0.824	3.389
112268463	LOC112268463		0.938	4.33
8310	ACOX3	acyl-CoA oxidase 3, pristanoyl	-0.529	4.442
8532	CPZ	carboxypeptidase Z	1.078	3.317
9948	WDR1	WD repeat domain 1	-0.564	3.339
85460	ZNF518B	zinc finger protein 518B	-0.526	3.066
259282	BOD1L1	biorientation of chromosomes in cell division 1 like 1	0.604	1.995
114905	C1QTNF7	C1q and TNF related 7	1.129	1.981
952	CD38	CD38 molecule	-2.27	10.874
9982	FGFBP1	fibroblast growth factor binding protein 1	-2.508	10.458
83888	FGFBP2	fibroblast growth factor binding protein 2	1.582	4.87
202020	TAPT1-AS1	TAPT1 antisense RNA 1 (head to head)	0.983	4.161
51056	LAP3	leucine aminopeptidase 3	-1.033	5.841
27146	FAM184B	family with sequence similarity 184 member B	1.059	3.838
54876	DCAF16	DDB1 and CUL4 associated factor 16	0.503	1.634
64151	NCAPG	non-SMC condensin I complex subunit G	-1.2	6.457
9353	SLIT2	slit guidance ligand 2	0.689	1.984
80333	KCNIP4	potassium voltage-gated channel interacting protein 4	0.687	3.45
166647	ADGRA3	adhesion G protein-coupled receptor A3	0.664	1.571
10891	PPARGC1A	PPARG coactivator 1 alpha	1.704	5.149
6649	SOD3	superoxide dismutase 3	0.664	1.953
91050	CCDC149	coiled-coil domain containing 149	0.55	3.814
55300	PI4K2B	phosphatidylinositol 4-kinase type 2 beta	-0.564	6.095
23231	SEL1L3	SEL1L family member 3	-0.686	2.371
116984	ARAP2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2	-0.761	4.592
57495	NWD2	NACHT and WD repeat domain containing 2	-2.219	4.823
768211	RELL1	RELT like 1	0.538	2.838
55276	PGM2	phosphoglucomutase 2	-1.519	8.106
102723415	LOC102723415	replaced by ID 79667	1.219	1.955
81793	TLR10	toll like receptor 10	-1.736	4.828
57728	WDR19	WD repeat domain 19	0.641	2.307
7358	UGDH	UDP-glucose 6-dehydrogenase	-0.82	2.46
399	RHOH	ras homolog family member H	-1.548	4.608
55584	CHRNA9	cholinergic receptor nicotinic alpha 9 subunit	-3.386	9.325
79730	NSUN7	NOP2/Sun RNA methyltransferase family member 7	0.76	3.821
323	APBB2	amyloid beta precursor protein binding family B member 2	0.572	2.864
10396	ATP8A1	ATPase phospholipid transporting 8A1	1.011	3.497
57205	ATP10D	ATPase phospholipid transporting 10D (putative)	-0.653	3.956
10699	CORIN	corin, serine peptidase	1.285	4.807
101927157	LOC101927157	uncharacterized LOC101927157	-0.667	1.461
1259	CNGA1	cyclic nucleotide gated channel subunit alpha 1	1.322	5.833
80157	CWH43	cell wall biogenesis 43 C-terminal homolog	-1.039	7.084
132671	SPATA18	spermatogenesis associated 18	0.671	3.06
57291	DANCR	differentiation antagonizing non-protein coding RNA	-0.73	1.5
100288413	ERVMER34-1	endogenous retrovirus group MER34 member 1, envelope	-1.257	3.347
3815	KIT	KIT proto-oncogene, receptor tyrosine kinase	0.881	9.304
55858	TMEM165	transmembrane protein 165	-1.641	12.847
57482	CRACD	capping protein inhibiting regulator of actin dynamics	0.703	1.624
6731	SRP72	signal recognition particle 72	-0.693	2.923
55236	UBA6	ubiquitin like modifier activating enzyme 6	-0.683	4.833
9407	TMPRSS11D	transmembrane serine protease 11D	-7.624	20.254
28983	TMPRSS11E	transmembrane serine protease 11E	1.581	1.393
10941	UGT2A1	UDP glucuronosyltransferase family 2 member A1 complex locus	3.085	2.474
574537	UGT2A2	UDP glucuronosyltransferase family 2 member A2	2.901	2.294
6783	SULT1E1	sulfotransferase family 1E member 1	-1.413	3.897
4589	MUC7	mucin 7, secreted	3.339	3.112
92597	MOB1B	MOB kinase activator 1B	0.502	1.577
166824	RASSF6	Ras association domain family member 6	1.06	3.031
3576	CXCL8	C-X-C motif chemokine ligand 8	-11.321	29.399
2919	CXCL1	C-X-C motif chemokine ligand 1	-6.103	18.588
2920	CXCL2	C-X-C motif chemokine ligand 2	-4.157	15.949
255324	EPGN	epithelial mitogen	-5.725	18.295
2069	EREG	epiregulin	-1.475	2.168
374	AREG	amphiregulin	-1.566	4.36
685	BTC	betacellulin	3.617	15.46
8999	CDKL2	cyclin dependent kinase like 2	1.792	1.91
4283	CXCL9	C-X-C motif chemokine ligand 9	-4.592	11.239
419	ART3	ADP-ribosyltransferase 3 (inactive)	1.209	3.571
3627	CXCL10	C-X-C motif chemokine ligand 10	-4.882	19.214
6373	CXCL11	C-X-C motif chemokine ligand 11	-3.493	5.337
100129583	FAM47E	family with sequence similarity 47 member E	1.262	3.447
57619	SHROOM3	shroom family member 3	0.938	1.839
345079	SOWAHB	sosondowah ankyrin repeat domain family member B	1.354	1.971
55752	SEPTIN11	septin 11	0.75	1.537
105377291	LOC105377291	uncharacterized LOC105377291	0.63	1.69
10563	CXCL13	C-X-C motif chemokine ligand 13	-4.457	16.124
102724916	LOC102724916	uncharacterized LOC102724916	-0.776	1.704
80144	FRAS1	Fraser extracellular matrix complex subunit 1	0.949	2.971
100505702	LINC01094	long intergenic non-protein coding RNA 1094	-1.614	3.882
107986294	LOC107986294	uncharacterized LOC107986294	1.683	4.751
105377302	LOC105377302	uncharacterized LOC105377302	0.863	1.443
651	BMP3	bone morphogenetic protein 3	1.136	1.598
153020	RASGEF1B	RasGEF domain family member 1B	-0.524	2.565
107986215	LOC107986215	replaced by ID 153020	-1.499	2.547
441027	TMEM150C	transmembrane protein 150C	0.645	3.407
79966	SCD5	stearoyl-CoA desaturase 5	1.123	9.19
132660	LIN54	lin-54 DREAM MuvB core complex component	-0.708	8
51316	PLAC8	placenta associated 8	-1.929	5.22
27235	COQ2	coenzyme Q2, polyprenyltransferase	-0.736	2.208
10855	HPSE	heparanase	-3.002	15.584
84803	GPAT3	glycerol-3-phosphate acyltransferase 3	-0.915	2.342
404201	WDFY3-AS2	WDFY3 antisense RNA 2	0.669	1.647
345274	SLC10A6	solute carrier family 10 member 6	-1.27	5.3
4299	AFF1	ALF transcription elongation factor 1	0.569	1.996
345275	HSD17B13	hydroxysteroid 17-beta dehydrogenase 13	2.865	5.17
5311	PKD2	polycystin 2, transient receptor potential cation channel	0.638	3.655
152926	PPM1K	protein phosphatase, Mg2+/Mn2+ dependent 1K	0.954	1.394
55008	HERC6	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6	-2.741	15.156
102723458	LOC102723458	uncharacterized LOC102723458	-2.182	11.722
51191	HERC5	HECT and RLD domain containing E3 ubiquitin protein ligase 5	-0.638	2.2
285512	FAM13A-AS1	FAM13A antisense RNA 1	1.048	3.343
10144	FAM13A	family with sequence similarity 13 member A	0.777	4.751
285513	GPRIN3	GPRIN family member 3	-0.703	2.052
105377329	LOC105377329	uncharacterized LOC105377329	2.849	9.118
6622	SNCA	synuclein alpha	0.633	1.577
658	BMPR1B	bone morphogenetic protein receptor type 1B	0.999	3.847
8633	UNC5C	unc-5 netrin receptor C	2.326	5.865
1977	EIF4E	eukaryotic translation initiation factor 4E	-1.197	5.432
23173	METAP1	methionyl aminopeptidase 1	-0.923	5.066
126	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide	1.146	1.323
131	ADH7	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	-2.869	9.789
27071	DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides 1	-0.848	3.462
3015	H2AZ1	H2A.Z variant histone 1	-1.058	2.96
55024	BANK1	B cell scaffold protein with ankyrin repeats 1	-0.613	3.099
4790	NFKB1	nuclear factor kappa B subunit 1	-0.527	2.473
102723704	LOC102723704	uncharacterized LOC102723704	-0.874	2.236
7323	UBE2D3	ubiquitin conjugating enzyme E2 D3	-0.667	1.847
150159	SLC9B1	solute carrier family 9 member B1	-0.815	1.666
1062	CENPE	centromere protein E	-0.863	2.742
80319	CXXC4	CXXC finger protein 4	1.317	1.865
54848	ARHGEF38	Rho guanine nucleotide exchange factor 38	1.763	1.934
27123	DKK2	dickkopf WNT signaling pathway inhibitor 2	0.928	2.094
55013	MCUB	mitochondrial calcium uniporter dominant negative subunit beta	-1.149	3.892
1950	EGF	epidermal growth factor	1.726	3.777
7368	UGT8	UDP glycosyltransferase 8	1.142	2.229
133022	TRAM1L1	translocation associated membrane protein 1 like 1	0.526	1.484
401149	LINC01061	long intergenic non-protein coding RNA 1061	1.134	2.654
4085	MAD2L1	mitotic arrest deficient 2 like 1	-1.381	3.51
79625	NDNF	neuron derived neurotrophic factor	1.235	6.103
79931	TNIP3	TNFAIP3 interacting protein 3	-6.078	17.865
890	CCNA2	cyclin A2	-1.4	8.091
84162	BLTP1	bridge-like lipid transfer protein family member 1	0.651	1.653
2247	FGF2	fibroblast growth factor 2	0.554	1.754
57182	ANKRD50	ankyrin repeat domain containing 50	0.73	4.799
27152	INTU	inturned planar cell polarity protein	0.731	3.053
22824	HSPA4L	heat shock protein family A (Hsp70) member 4 like	-0.815	8.169
10733	PLK4	polo like kinase 4	-0.838	7.11
79960	JADE1	jade family PHD finger 1	0.946	3.842
23657	SLC7A11	solute carrier family 7 member 11	-3.181	14.785
25819	NOCT	nocturnin	-1.466	10.678
80155	NAA15	N-alpha-acetyltransferase 15, NatA auxiliary subunit	-0.873	10.188
105377622	LOC105377622	uncharacterized LOC105377622	-1.292	2.653
101927490	QKILA	QKI interacting lncRNA	-1.409	1.677
1047	CLGN	calmegin	1.991	4.243
57484	RNF150	ring finger protein 150	0.962	3.554
84640	USP38	ubiquitin specific peptidase 38	-0.949	5.185
6059	ABCE1	ATP binding cassette subfamily E member 1	-0.77	5.815
84068	SLC10A7	solute carrier family 10 member 7	-0.507	2.703
4306	NR3C2	nuclear receptor subfamily 3 group C member 2	1.411	6.832
166614	DCLK2	doublecortin like kinase 2	0.848	3.164
5188	GATB	glutamyl-tRNA amidotransferase subunit B	-1.014	3.344
100996286	LINC02273	long intergenic non-protein coding RNA 2273	-1.797	4.551
201799	TMEM154	transmembrane protein 154	-0.808	5.031
85462	FHDC1	FH2 domain containing 1	-0.838	3.547
23321	TRIM2	tripartite motif containing 2	1.074	6.419
84057	MND1	meiotic nuclear divisions 1	-0.941	2.181
7097	TLR2	toll like receptor 2	-0.662	1.881
54798	DCHS2	dachsous cadherin-related 2	0.971	2.663
5356	PLRG1	pleiotropic regulator 1	-0.609	3.903
79884	MAP9	microtubule associated protein 9	0.701	3.751
6999	TDO2	tryptophan 2,3-dioxygenase	-2.748	6.692
56034	PDGFC	platelet derived growth factor C	0.884	8.011
2743	GLRB	glycine receptor beta	1.417	7.835
2891	GRIA2	glutamate ionotropic receptor AMPA type subunit 2	2.69	4.22
201725	C4orf46	chromosome 4 open reading frame 46	-0.601	2.142
9693	RAPGEF2	Rap guanine nucleotide exchange factor 2	0.693	2.44
4886	NPY1R	neuropeptide Y receptor Y1	1.31	3.682
4889	NPY5R	neuropeptide Y receptor Y5	1.83	4.49
100506013	APELA	apelin receptor early endogenous ligand	-1.476	2.568
152756	FAM218A	family with sequence similarity 218 member A	0.953	2.486
1363	CPE	carboxypeptidase E	0.619	1.784
7092	TLL1	tolloid like 1	1.351	12.397
55601	DDX60	DExD/H-box helicase 60	-1.322	5.17
91351	DDX60L	DExD/H-box 60 like	-1.064	4.391
57630	SH3RF1	SH3 domain containing ring finger 1	0.506	1.552
1182	CLCN3	chloride voltage-gated channel 3	-0.653	3.597
9848	MFAP3L	microfibril associated protein 3 like	0.634	1.562
105377540	SAP30-DT	SAP30 divergent transcript	0.597	1.744
101928383	LOC101928383		0.924	1.492
9464	HAND2	heart and neural crest derivatives expressed 2	-2.488	4.152
79804	HAND2-AS1	HAND2 antisense RNA 1	-2.425	3.207
2823	GPM6A	glycoprotein M6A	1.143	2.109
116966	WDR17	WD repeat domain 17	0.986	1.833
60559	SPCS3	signal peptidase complex subunit 3	-0.794	2.487
55247	NEIL3	nei like DNA glycosylase 3	-0.739	1.758
55602	CDKN2AIP	CDKN2A interacting protein	-0.601	3.017
79682	CENPU	centromere protein U	-0.676	1.468
2180	ACSL1	acyl-CoA synthetase long chain family member 1	1.072	1.345
107986333	LINC02437	long intergenic non-protein coding RNA 2437	0.903	1.554
291	SLC25A4	solute carrier family 25 member 4	0.616	1.665
83891	SNX25	sorting nexin 25	0.889	3.84
55805	LRP2BP	LRP2 binding protein	0.501	1.861
256309	CCDC110	coiled-coil domain containing 110	0.958	1.839
8470	SORBS2	sorbin and SH3 domain containing 2	1.039	3.268
25854	FAM149A	family with sequence similarity 149 member A	0.822	2.852
133957	CCDC127	coiled-coil domain containing 127	0.564	4.406
10016	PDCD6	programmed cell death 6	-0.677	2.588
11336	EXOC3	exocyst complex component 3	-0.557	4.916
55722	CEP72	centrosomal protein 72	0.564	1.693
11076	TPPP	tubulin polymerization promoting protein	2.486	11.571
653082	ZDHHC11B	zinc finger DHHC-type containing 11B	2.799	5.977
79844	ZDHHC11	zinc finger DHHC-type containing 11	1.778	5.025
9319	TRIP13	thyroid hormone receptor interactor 13	-1.314	9.938
85409	NKD2	NKD inhibitor of WNT signaling pathway 2	0.697	2.258
10723	SLC12A7	solute carrier family 12 member 7	0.828	1.817
79888	LPCAT1	lysophosphatidylcholine acyltransferase 1	-0.57	2.045
728609	SDHAP3	SDHA pseudogene 3	0.698	1.343
64979	MRPL36	mitochondrial ribosomal protein L36	-0.845	2.21
153572	IRX2	iroquois homeobox 2	0.563	1.531
79192	IRX1	iroquois homeobox 1	1.545	10.712
84246	MED10	mediator complex subunit 10	-0.574	3.778
255167	LINC01018	long intergenic non-protein coding RNA 1018	2.312	3.709
108	ADCY2	adenylate cyclase 2	1.324	6.317
4552	MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase	-0.71	3.149
9037	SEMA5A	semaphorin 5A	0.584	1.511
22948	CCT5	chaperonin containing TCP1 subunit 5	-1.039	6.789
134147	CMBL	carboxymethylenebutenolidase homolog	0.667	1.533
10299	MARCHF6	membrane associated ring-CH-type finger 6	0.54	3.666
651746	ANKRD33B	ankyrin repeat domain 33B	1.827	6.481
7204	TRIO	trio Rho guanine nucleotide exchange factor	0.568	1.608
56172	ANKH	ANKH inorganic pyrophosphate transport regulator	0.786	4.683
54463	RETREG1	reticulophagy regulator 1	1.558	4.721
10409	BASP1	brain abundant membrane attached signal protein 1	-0.643	2.911
1010	CDH12	cadherin 12	2.498	11.907
23037	PDZD2	PDZ domain containing 2	0.757	2.71
105374711	LOC105374711	uncharacterized LOC105374711	0.76	2.195
10923	SUB1	SUB1 regulator of transcription	-1.174	2.859
6897	TARS1	threonyl-tRNA synthetase 1	-0.827	3.993
646652	LOC646652	integral membrane glycoprotein-like pseudogene	1.12	1.33
26064	RAI14	retinoic acid induced 14	1.099	9.63
153657	TTC23L	tetratricopeptide repeat domain 23 like	0.784	1.37
55299	BRIX1	biogenesis of ribosomes BRX1	-0.531	1.843
5618	PRLR	prolactin receptor	1.45	8.078
79925	SPEF2	sperm flagellar 2	0.891	2.609
3575	IL7R	interleukin 7 receptor	-1.36	3.174
167127	UGT3A2	UDP glycosyltransferase family 3 member A2	4.796	14.264
6502	SKP2	S-phase kinase associated protein 2	-0.526	5.298
202151	RANBP3L	RAN binding protein 3 like	1.311	3.641
646719	NIPBL-DT	NIPBL divergent transcript	0.504	2.836
65250	CPLANE1	ciliogenesis and planar polarity effector complex subunit 1	0.607	2.002
2668	GDNF	glial cell derived neurotrophic factor	1.635	3.626
3977	LIFR	LIF receptor subunit alpha	1.182	6.474
100506495	LIFR-AS1	LIFR antisense RNA 1	1.07	4.776
101929768	OSMR-DT	OSMR divergent transcript	-1.158	2.245
9180	OSMR	oncostatin M receptor	-0.863	4.022
735	C9	complement C9	-1.291	1.846
5734	PTGER4	prostaglandin E receptor 4	-0.51	2.339
84674	CARD6	caspase recruitment domain family member 6	-1.379	6.036
345557	PLCXD3	phosphatidylinositol specific phospholipase C X domain containing 3	1.191	2.403
5019	OXCT1	3-oxoacid CoA-transferase 1	-0.534	3.121
643977	FLJ32255	uncharacterized LOC643977	-0.611	1.926
153684	ANXA2R-AS1	ANXA2R antisense RNA 1	0.642	1.391
100132356	LOC100132356	uncharacterized LOC100132356	0.877	3.695
167359	NIM1K	NIM1 serine/threonine protein kinase	0.915	3.666
64417	TMEM267	transmembrane protein 267	-0.581	1.612
100506674	MRPS30-DT	MRPS30 divergent transcript	1.752	5.005
10884	MRPS30	mitochondrial ribosomal protein S30	-0.51	2.585
3670	ISL1	ISL LIM homeobox 1	-1.249	2.285
10468	FST	follistatin	1.118	5.019
3003	GZMK	granzyme K	-1.296	1.786
3001	GZMA	granzyme A	-1.585	2.636
10769	PLK2	polo like kinase 2	-1.318	11.56
115827	RAB3C	RAB3C, member RAS oncogene family	0.796	1.573
55789	DEPDC1B	DEP domain containing 1B	-1.99	8.19
