GeneID	Symbol	Description	log2(fold change)(Non-lesion-PsA vs lesion-PsA)	-log10(Pvalue)(Non-lesion-PsA vs lesion-PsA)
1627	DBN1	drebrin 1	0.935	3.295
79930	DOK3	docking protein 3	-0.575	1.591
51428	DDX41	DEAD-box helicase 41	-0.513	7.848
54732	TMED9	transmembrane p24 trafficking protein 9	-0.554	4.5
202181	LOC202181	SUMO interacting motifs containing 1 pseudogene	0.836	1.945
285596	FAM153A	family with sequence similarity 153 member A	1.224	4.928
728554	LOC728554	THO complex 3 pseudogene	-0.859	2.852
653316	FAM153CP	protein FAM153C	1.28	3.124
23138	N4BP3	NEDD4 binding protein 3	0.686	2.156
55651	NHP2	NHP2 ribonucleoprotein	-0.964	4.142
3182	HNRNPAB	heterogeneous nuclear ribonucleoprotein A/B	-0.564	4.781
91522	COL23A1	collagen type XXIII alpha 1 chain	0.714	4.238
80108	ZFP2	ZFP2 zinc finger protein	1.229	3.966
285676	ZNF454	zinc finger protein 454	0.887	3.529
30832	ZNF354C	zinc finger protein 354C	0.547	3.876
100996419	MRNIP-DT	MRNIP divergent transcript	0.602	1.983
255426	RASGEF1C	RasGEF domain family member 1C	1.66	6.25
92304	SCGB3A1	secretoglobin family 3A member 1	1.985	3.059
105377766	LOC105377766		1.031	1.869
153579	BTNL9	butyrophilin like 9	0.971	1.365
81786	TRIM7	tripartite motif containing 7	-0.524	2.622
101927703	FOXCUT	FOXC1 upstream transcript	1.005	2.316
2296	FOXC1	forkhead box C1	1.654	4.611
107986513	LOC107986513		1.367	2.737
1992	SERPINB1	serpin family B member 1	-1.975	14.476
5272	SERPINB9	serpin family B member 9	-1.487	9.792
5269	SERPINB6	serpin family B member 6	-0.531	2.103
7280	TUBB2A	tubulin beta 2A class IIa	-1.128	4.708
347733	TUBB2B	tubulin beta 2B class IIb	-1.049	4.49
497048	KU-MEL-3	uncharacterized LOC497048	-1.28	2.112
10799	RPP40	ribonuclease P/MRP subunit p40	-1.094	5.162
100129461	LYRM4-AS1	LYRM4 antisense RNA 1	-0.703	4.098
57128	LYRM4	LYR motif containing 4	-0.568	1.616
648791	PPP1R3G	protein phosphatase 1 regulatory subunit 3G	0.731	3.16
10667	FARS2	phenylalanyl-tRNA synthetase 2, mitochondrial	-0.631	3.745
105374898	LOC105374898	uncharacterized LOC105374898	0.585	1.716
51299	NRN1	neuritin 1	0.61	1.767
9450	LY86	lymphocyte antigen 86	-0.756	2.144
101928004	LOC101928004	uncharacterized LOC101928004	1.991	2.185
101928047	LOC101928047	uncharacterized LOC101928047	1.245	1.49
83732	RIOK1	RIO kinase 1	-0.638	7.356
100526836	BLOC1S5-TXNDC5	BLOC1S5-TXNDC5 readthrough (NMD candidate)	-0.583	3.969
81567	TXNDC5	thioredoxin domain containing 5	-0.596	4.038
9521	EEF1E1	eukaryotic translation elongation factor 1 epsilon 1	-0.735	2.372
221718	LINC00518	long intergenic non-protein coding RNA 518	-1.922	7.501
2651	GCNT2	glucosaminyl (N-acetyl) transferase 2 (I blood group)	0.703	7.886
55003	PAK1IP1	PAK1 interacting protein 1	-1.112	5.962
405754	ERVFRD-1	endogenous retrovirus group FRD member 1, envelope	1.265	2.703
84830	ADTRP	androgen dependent TFPI regulating protein	0.99	1.604
107986566	LOC107986566		1.145	2.211
107986567	LOC107986567	uncharacterized LOC107986567	0.979	1.644
107080638	TBC1D7-LOC100130357	TBC1D7-LOC100130357 readthrough	-0.501	1.838
51256	TBC1D7	TBC1 domain family member 7	-0.568	2.058
9308	CD83	CD83 molecule	-1.444	15.155
101928331	LOC101928331	uncharacterized LOC101928331	2.207	9.116
221662	RBM24	RNA binding motif protein 24	1.012	3.623
10486	CAP2	cyclase associated actin cytoskeleton regulatory protein 2	0.545	2.321
7172	TPMT	thiopurine S-methyltransferase	-0.553	2.372
255488	RNF144B	ring finger protein 144B	-0.764	4.807
100506885	LNC-LBCS	lncRNA bladder and prostate cancer suppressor, hnRNPK interacting	0.819	1.54
3400	ID4	inhibitor of DNA binding 4	1.157	9.604
57380	MRS2	magnesium transporter MRS2	-0.703	3.063
2822	GPLD1	glycosylphosphatidylinositol specific phospholipase D1	-0.516	1.507
51567	TDP2	tyrosyl-DNA phosphodiesterase 2	-1.008	4.617
55856	ACOT13	acyl-CoA thioesterase 13	-0.592	1.586
8418	CMAHP	cytidine monophospho-N-acetylneuraminic acid hydroxylase, pseudogene	0.632	1.825
3006	H1-2	H1.2 linker histone, cluster member	1.083	1.802
8364	H4C3	H4 clustered histone 3	-0.747	1.593
11119	BTN3A1	butyrophilin subfamily 3 member A1	-0.581	2.474
10384	BTN3A3	butyrophilin subfamily 3 member A3	-0.555	2.373
493812	HCG11	HLA complex group 11	0.642	3.769
29777	ABT1	activator of basal transcription 1	-0.815	3.539
7754	ZNF204P	zinc finger protein 204, pseudogene	0.867	5.567
346157	ZNF391	zinc finger protein 391	0.765	3.484
7745	ZKSCAN8	zinc finger with KRAB and SCAN domains 8	0.771	4.241
64288	ZSCAN31	zinc finger and SCAN domain containing 31	-0.7	2.428
80317	ZKSCAN3	zinc finger with KRAB and SCAN domains 3	0.764	6.939
10537	UBD	ubiquitin D	-1.879	7.412
3134	HLA-F	major histocompatibility complex, class I, F	-0.693	2.606
3136	HLA-H	major histocompatibility complex, class I, H (pseudogene)	-0.689	1.502
3105	HLA-A	major histocompatibility complex, class I, A	-0.63	2.647
80862	POLR1HASP	POLR1H antisense, pseudogene	0.507	1.36
30834	POLR1H	RNA polymerase I subunit H	-0.737	2.556
10107	TRIM10	tripartite motif containing 10	-3.454	21.77
89870	TRIM15	tripartite motif containing 15	-3.806	18.664
79897	RPP21	ribonuclease P/MRP subunit p21	-0.534	2.212
3133	HLA-E	major histocompatibility complex, class I, E	-0.555	4.26
105379695	IER3-AS1	IER3 antisense RNA 1	0.703	1.991
8870	IER3	immediate early response 3	0.74	2.104
105375014	LINC02570	long intergenic non-protein coding RNA 2570	-0.912	1.376
1041	CDSN	corneodesmosin	-1.112	2.098
170680	PSORS1C2	psoriasis susceptibility 1 candidate 2	-1.523	3.02
6941	TCF19	transcription factor 19	-0.541	4.702
253018	HCG27	HLA complex group 27	0.819	2.06
3107	HLA-C	major histocompatibility complex, class I, C	-0.673	3.362
3106	HLA-B	major histocompatibility complex, class I, B	-0.752	5.043
102465537	MIR6891	microRNA 6891	-0.938	1.415
10866	HCP5	HLA complex P5	-0.609	1.608
352961	HCG26	HLA complex group 26	0.813	1.817
4277	MICB	MHC class I polypeptide-related sequence B	-0.917	4.008
7124	TNF	tumor necrosis factor	-1.083	6.518
4050	LTB	lymphotoxin beta	-1.272	6.097
7940	LST1	leukocyte specific transcript 1	-0.783	1.95
199	AIF1	allograft inflammatory factor 1	-0.764	2.509
80739	MPIG6B	megakaryocyte and platelet inhibitory receptor G6b	0.766	3.336
1192	CLIC1	chloride intracellular channel 1	-0.534	1.694
100532732	MSH5-SAPCD1	MSH5-SAPCD1 readthrough (NMD candidate)	1	5.438
401251	SAPCD1	suppressor APC domain containing 1	2.658	17.325
80737	VWA7	von Willebrand factor A domain containing 7	1.565	10.005
104413891	SAPCD1-AS1	SAPCD1 antisense RNA 1	2.52	15.155
57819	LSM2	LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated	-0.932	2.841
717	C2	complement C2	-0.719	2.311
629	CFB	complement factor B	-1.604	31.056
7936	NELFE	negative elongation factor complex member E	-0.677	2.836
7148	TNXB	tenascin XB	1.019	2.338
63943	FKBPL	FKBP prolyl isomerase like	-1.033	5.599
10554	AGPAT1	1-acylglycerol-3-phosphate O-acyltransferase 1	1.513	5.684
102466190	MIR6721	microRNA 6721	1.577	5.792
63940	GPSM3	G protein signaling modulator 3	-0.699	5.211
4855	NOTCH4	notch receptor 4	0.507	1.418
3122	HLA-DRA	major histocompatibility complex, class II, DR alpha	-0.81	2.642
3123	HLA-DRB1	major histocompatibility complex, class II, DR beta 1	-0.662	1.867
107986589	LOC107986589		-0.75	1.659
3117	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1	-0.748	1.397
3112	HLA-DOB	major histocompatibility complex, class II, DO beta	-0.969	5.014
6891	TAP2	transporter 2, ATP binding cassette subfamily B member	-1.191	8.244
5696	PSMB8	proteasome 20S subunit beta 8	-1.369	7.082
100507463	PSMB8-AS1	PSMB8 antisense RNA 1 (head to head)	-1.268	11.807
6890	TAP1	transporter 1, ATP binding cassette subfamily B member	-1.385	13.551
5698	PSMB9	proteasome 20S subunit beta 9	-1.16	5.07
100294145	LOC100294145	uncharacterized LOC100294145	-0.631	2.728
3109	HLA-DMB	major histocompatibility complex, class II, DM beta	-0.786	2.918
3113	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1	-0.575	1.844
3115	HLA-DPB1	major histocompatibility complex, class II, DP beta 1	-0.608	2.372
10471	PFDN6	prefoldin subunit 6	-0.809	9.023
3833	KIFC1	kinesin family member C1	-1.151	9.63
5252	PHF1	PHD finger protein 1	0.523	3.468
578	BAK1	BCL2 antagonist/killer 1	-1.18	8.009
3710	ITPR3	inositol 1,4,5-trisphosphate receptor type 3	0.626	1.52
84300	UQCC2	ubiquinol-cytochrome c reductase complex assembly factor 2	-0.715	1.777
25803	SPDEF	SAM pointed domain containing ETS transcription factor	1.327	1.418
6631	SNRPC	small nuclear ribonucleoprotein polypeptide C	-0.737	4.034
6882	TAF11	TATA-box binding protein associated factor 11	-0.643	2.32
222663	SCUBE3	signal peptide, CUB domain and EGF like domain containing 3	0.923	4.102
5467	PPARD	peroxisome proliferator activated receptor delta	-0.999	5.207
6732	SRPK1	SRSF protein kinase 1	-0.504	3.306
5603	MAPK13	mitogen-activated protein kinase 13	-0.773	5.486
285848	PNPLA1	patatin like phospholipase domain containing 1	-0.634	2.887
6428	SRSF3	serine and arginine rich splicing factor 3	-0.96	3.655
401258	RAB44	RAB44, member RAS oncogene family	0.832	1.84
57699	CPNE5	copine 5	-0.676	1.799
51645	PPIL1	peptidylprolyl isomerase like 1	-1.452	6.701
221476	PI16	peptidase inhibitor 16	0.887	2.402
221472	FGD2	FYVE, RhoGEF and PH domain containing 2	-1.15	10.206
5292	PIM1	Pim-1 proto-oncogene, serine/threonine kinase	-1.1	6.934
9025	RNF8	ring finger protein 8	-0.549	3.63
154467	CCDC167	coiled-coil domain containing 167	-1.441	4.336
266727	MDGA1	MAM domain containing glycosylphosphatidylinositol anchor 1	1.007	1.694
1769	DNAH8	dynein axonemal heavy chain 8	2.051	1.756
8645	KCNK5	potassium two pore domain channel subfamily K member 5	1.14	3.468
23500	DAAM2	dishevelled associated activator of morphogenesis 2	0.869	5.241
100505635	DAAM2-AS1	DAAM2 antisense RNA 1	0.873	3.512
4337	MOCS1	molybdenum cofactor synthesis 1	0.793	3.575
10930	APOBEC2	apolipoprotein B mRNA editing enzyme catalytic subunit 2	1.113	3.444
340205	TREML1	triggering receptor expressed on myeloid cells like 1	-2.072	8.914
54209	TREM2	triggering receptor expressed on myeloid cells 2	-0.928	1.446
79865	TREML2	triggering receptor expressed on myeloid cells like 2	-2.192	6.375
54210	TREM1	triggering receptor expressed on myeloid cells 1	-2.823	4.699
116113	FOXP4	forkhead box P4	0.581	2.762
4188	MDFI	MyoD family inhibitor	-1.451	12.245
29964	PRICKLE4	prickle planar cell polarity protein 4	-0.899	3.737
100188893	TOMM6	translocase of outer mitochondrial membrane 6	-0.633	2.298
705	BYSL	bystin like	-0.689	4.52
55173	MRPS10	mitochondrial ribosomal protein S10	-0.567	1.949
88745	RRP36	ribosomal RNA processing 36	-0.845	6.21
9533	POLR1C	RNA polymerase I and III subunit C	-0.679	5.143
54676	GTPBP2	GTP binding protein 2	-0.804	10.149
9587	MAD2L1BP	MAD2L1 binding protein	-0.533	2.468
64928	MRPL14	mitochondrial ribosomal protein L14	-0.597	1.302
11131	CAPN11	calpain 11	1.134	3.998
101929726	MYMX	myomixer, myoblast fusion factor	0.838	1.956
2030	SLC29A1	solute carrier family 29 member 1 (Augustine blood group)	0.748	4.712
4794	NFKBIE	NFKB inhibitor epsilon	-0.807	5.008
53405	CLIC5	chloride intracellular channel 5	0.708	3.647
22875	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4	0.946	7.679
59084	ENPP5	ectonucleotide pyrophosphatase/phosphodiesterase family member 5	1.48	8.429
10231	RCAN2	regulator of calcineurin 2	1.064	9.174
51302	CYP39A1	cytochrome P450 family 39 subfamily A member 1	0.561	1.471
9481	SLC25A27	solute carrier family 25 member 27	0.899	1.524
221400	TDRD6	tudor domain containing 6	1.282	3.324
7941	PLA2G7	phospholipase A2 group VII	1.342	2.328
27242	TNFRSF21	TNF receptor superfamily member 21	-1.031	5.992
222611	ADGRF2	adhesion G protein-coupled receptor F2	0.722	2.925
55166	CENPQ	centromere protein Q	-0.733	2.447
7021	TFAP2B	transcription factor AP-2 beta	0.676	2.892
5314	PKHD1	PKHD1 ciliary IPT domain containing fibrocystin/polyductin	1.164	1.972
9697	TRAM2	translocation associated membrane protein 2	0.532	1.531
28978	TMEM14A	transmembrane protein 14A	-0.768	1.858
2938	GSTA1	glutathione S-transferase alpha 1	1.036	1.831
105375091	LOC105375091	uncharacterized LOC105375091	2.015	8.569
2940	GSTA3	glutathione S-transferase alpha 3	1.593	5.572
2941	GSTA4	glutathione S-transferase alpha 4	-0.835	6.504
26268	FBXO9	F-box protein 9	-0.666	4.811
60481	ELOVL5	ELOVL fatty acid elongase 5	1.597	2.076
105375095	LOC105375095	uncharacterized LOC105375095	2.284	2.385
101927189	LOC101927189	uncharacterized LOC101927189	-0.875	2.66
90523	MLIP	muscular LMNA interacting protein	-1.027	3.289
222584	FAM83B	family with sequence similarity 83 member B	-0.549	4.849
54511	HMGCLL1	3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1	0.697	1.52
81578	COL21A1	collagen type XXI alpha 1 chain	0.994	4.902
667	DST	dystonin	0.689	4.306
5558	PRIM2	DNA primase subunit 2	-0.507	2.572
7803	PTP4A1	protein tyrosine phosphatase 4A1	-1.141	9.026
23469	PHF3	PHD finger protein 3	0.582	3.962
441155	ZC3H11C	zinc finger CCCH-type containing 11C	0.629	2.53
577	ADGRB3	adhesion G protein-coupled receptor B3	0.957	4.001
57579	FAM135A	family with sequence similarity 135 member A	-0.577	3.701
79940	LINC00472	long intergenic non-protein coding RNA 472	1.109	3.224
115004	CGAS	cyclic GMP-AMP synthase	-1.522	15.943
1303	COL12A1	collagen type XII alpha 1 chain	0.898	2.069
1347	COX7A2	cytochrome c oxidase subunit 7A2	-0.632	1.406
27145	FILIP1	filamin A interacting protein 1	0.838	2.898
167691	LCA5	lebercilin LCA5	0.729	4.765
83699	SH3BGRL2	SH3 domain binding glutamate rich protein like 2	0.531	2.539
7272	TTK	TTK protein kinase	-1.607	13.396
594	BCKDHB	branched chain keto acid dehydrogenase E1 subunit beta	0.888	2.938
7162	TPBG	trophoblast glycoprotein	-1.514	32.687
90025	UBE3D	ubiquitin protein ligase E3D	-1.08	8.111
167681	PRSS35	serine protease 35	-0.798	1.367
51167	CYB5R4	cytochrome b5 reductase 4	-1.142	6.718
112609	MRAP2	melanocortin 2 receptor accessory protein 2	-0.675	2.217
107986620	LOC107986620	uncharacterized LOC107986620	1.354	3.461
9096	TBX18	T-box transcription factor 18	0.996	7.848
206412	C6orf163	chromosome 6 open reading frame 163	0.756	1.507
63914	LINC01590	long intergenic non-protein coding RNA 1590	0.858	1.455
55122	AKIRIN2	akirin 2	-0.659	5.506
1268	CNR1	cannabinoid receptor 1	0.633	1.999
51465	UBE2J1	ubiquitin conjugating enzyme E2 J1	-0.526	2.884
22881	ANKRD6	ankyrin repeat domain 6	0.558	4.474
105377887	LOC105377887		0.627	2.133
57226	LYRM2	LYR motif containing 2	-0.514	1.63
101929057	MDN1-AS1	MDN1 antisense RNA 1	0.582	1.31
60468	BACH2	BTB domain and CNC homolog 2	0.935	5.904
2045	EPHA7	EPH receptor A7	1.149	1.781
101927288	MANEA-DT	MANEA divergent transcript	0.967	4.827
10690	FUT9	fucosyltransferase 9	1.873	2.763
51805	COQ3	coenzyme Q3, methyltransferase	-0.502	1.86
892	CCNC	cyclin C	-0.656	1.828
2898	GRIK2	glutamate ionotropic receptor kainate type subunit 2	1.067	3.189
11149	BVES	blood vessel epicardial substance	0.703	3.692
639	PRDM1	PR/SET domain 1	-1.613	11.094
9474	ATG5	autophagy related 5	-0.549	1.927
100133941	CD24	CD24 molecule	-2.363	17.259
57673	BEND3	BEN domain containing 3	-0.564	1.432
55084	SOBP	sine oculis binding protein homolog	0.945	3.839
28962	OSTM1	osteoclastogenesis associated transmembrane protein 1	-0.642	3.498
8724	SNX3	sorting nexin 3	-0.539	1.662
221262	CCDC162P	coiled-coil domain containing 162, pseudogene	0.991	2.213
6610	SMPD2	sphingomyelin phosphodiesterase 2	-0.815	5.003
728464	METTL24	methyltransferase like 24	0.713	2.855
8528	DDO	D-aspartate oxidase	1.788	3.805
262	AMD1	adenosylmethionine decarboxylase 1	-1.064	6.612
112495	GTF3C6	general transcription factor IIIC subunit 6	-1.03	9.155
84154	RPF2	ribosome production factor 2 homolog	-0.729	3.782
117247	SLC16A10	solute carrier family 16 member 10	-1.4	8.134
107986633	LOC107986633	uncharacterized LOC107986633	0.669	2.059
1300	COL10A1	collagen type X alpha 1 chain	0.813	2.045
441168	CALHM6	calcium homeostasis modulator family member 6	-1.549	4.444
254228	CALHM5	calcium homeostasis modulator family member 5	1.957	11.291
221303	FAM162B	family with sequence similarity 162 member B	-0.566	1.439
245806	VGLL2	vestigial like family member 2	1.824	2.67
222553	SLC35F1	solute carrier family 35 member F1	1.008	3.279
79632	FAM184A	family with sequence similarity 184 member A	0.977	2.868
2697	GJA1	gap junction protein alpha 1	-0.525	2.032
5570	PKIB	cAMP-dependent protein kinase inhibitor beta	0.856	1.943
2173	FABP7	fatty acid binding protein 7	1.417	1.425
7955	RNF217-AS1	RNF217 antisense RNA 1 (head to head)	0.564	3.266
154214	RNF217	ring finger protein 217	0.554	3.17
23493	HEY2	hes related family bHLH transcription factor with YRPW motif 2	0.56	2.389
135112	NCOA7	nuclear receptor coactivator 7	-1.01	11.553
387103	CENPW	centromere protein W	-1.426	6.214
387104	SOGA3	SOGA family member 3	0.686	3.323
9729	KIAA0408	KIAA0408	0.748	2.815
387357	THEMIS	thymocyte selection associated	-1.196	4.682
101928140	PTPRK-AS1	PTPRK antisense RNA 1	0.69	2.862
154075	SAMD3	sterile alpha motif domain containing 3	-0.866	3.095
114801	TMEM200A	transmembrane protein 200A	0.674	2.193
2037	EPB41L2	erythrocyte membrane protein band 4.1 like 2	0.527	2.868
383	ARG1	arginase 1	-3.02	11.904
5169	ENPP3	ectonucleotide pyrophosphatase/phosphodiesterase 3	0.547	1.807
79541	OR2A4	olfactory receptor family 2 subfamily A member 4	0.819	1.934
643854	CTAGE9	CTAGE family member 9	0.56	1.326
5167	ENPP1	ectonucleotide pyrophosphatase/phosphodiesterase 1	0.618	2.169
26002	MOXD1	monooxygenase DBH like 1	-0.745	5.099
8876	VNN1	vanin 1	-1.801	9.22
55350	VNN3P	vanin 3, pseudogene	-7.044	30.43
8875	VNN2	vanin 2	-1.76	6.262
116843	SLC18B1	solute carrier family 18 member B1	-0.771	10.979
594839	SNORA33	small nucleolar RNA, H/ACA box 33	-0.872	1.509
2070	EYA4	EYA transcriptional coactivator and phosphatase 4	1.633	4.339
9519	TBPL1	TATA-box binding protein like 1	-0.565	2.152
6446	SGK1	serum/glucocorticoid regulated kinase 1	-1.186	13.212
101928231	CT69	cancer/testis associated transcript 69	-3.407	19.171
101928277	LOC101928277	uncharacterized LOC101928277	2.355	3.362
4602	MYB	MYB proto-oncogene, transcription factor	-0.613	3.193
113115	MTFR2	mitochondrial fission regulator 2	-1.222	10.364
101928429	MAP3K5-AS2	MAP3K5 antisense RNA 2	-0.564	1.311
53832	IL20RA	interleukin 20 receptor subunit alpha	0.741	3.087
3459	IFNGR1	interferon gamma receptor 1	-1.126	8.634
100130476	WAKMAR2	wound and keratinocyte migration associated lncRNA 2	0.931	2.575
7128	TNFAIP3	TNF alpha induced protein 3	-0.701	2.311
57221	ARFGEF3	ARFGEF family member 3	1.627	8.17
441172	NHSL1-AS1	NHSL1 antisense RNA 1	-0.894	3.557
345930	ECT2L	epithelial cell transforming 2 like	0.847	1.575
58527	ABRACL	ABRA C-terminal like	-0.825	2.834
51534	VTA1	vesicle trafficking 1	-0.515	2.59
51390	AIG1	androgen induced 1	-0.669	2.536
153918	ZC2HC1B	zinc finger C2HC-type containing 1B	1.558	1.694
83443	SF3B5	splicing factor 3b subunit 5	-0.807	2.734
8676	STX11	syntaxin 11	-1.132	7.266
7402	UTRN	utrophin	0.737	3.709
10981	RAB32	RAB32, member RAS oncogene family	-0.839	1.693
729176	KATNBL1P6	katanin regulatory subunit B1 like 1 pseudogene 6	-1.282	4.285
729178	STXBP5-AS1	STXBP5 antisense RNA 1	-1.148	5.718
389432	SAMD5	sterile alpha motif domain containing 5	0.919	2.574
10090	UST	uronyl 2-sulfotransferase	0.937	7.547
100128176	UST-AS1	UST antisense RNA 1	1.107	5.068
340152	ZC3H12D	zinc finger CCCH-type containing 12D	-0.931	3.718
84918	LRP11	LDL receptor related protein 11	-0.579	3.352
100652739	RAET1E-AS1	RAET1E antisense RNA 1	-0.612	2.573
135250	RAET1E	retinoic acid early transcript 1E	-1.211	6.093
353091	RAET1G	retinoic acid early transcript 1G	-1.833	12.753
80328	ULBP2	UL16 binding protein 2	-2.06	8.298
154064	RAET1L	retinoic acid early transcript 1L	-1.058	2.829
79465	ULBP3	UL16 binding protein 3	-0.625	1.872
389434	IYD	iodotyrosine deiodinase	2.369	2.023
25902	MTHFD1L	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like	-0.578	2.69
9590	AKAP12	A-kinase anchoring protein 12	0.76	3.799
23345	SYNE1	spectrin repeat containing nuclear envelope protein 1	1.018	5.052
26271	FBXO5	F-box protein 5	-0.68	6.839
26034	IPCEF1	interaction protein for cytohesin exchange factors 1	-0.64	3.36
26230	TIAM2	TIAM Rac1 associated GEF 2	0.586	2.095
101928923	LOC101928923	uncharacterized LOC101928923	0.773	1.322
115308161	LOC115308161	uncharacterized LOC115308161	0.563	1.649
107986663	LOC107986663	uncharacterized LOC107986663	-3.722	10.35
6993	DYNLT1	dynein light chain Tctex-type 1	-0.95	4.108
